"","ADM_RATE","ACTCMMID","UGDS","TUITIONFEE_IN","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","PFTFTUG1_EF","AGE_ENTRY","yvals","names"
"29536",0.7671,23,2740,19853,9289,4881,5892,0.9748,0.6559,23.466450216,0.5804,"Ashland University"
"29540",0.7904,24,3493,20518,12146,7706,6123,0.4411,0.6115,21.657317073,0.6653,"Baldwin Wallace University"
"29543",0.7123,22,1028,19028,10516,5892,5088,0.9178,0.7143,22.294025157,0.5645,"Bluffton University"
"29546",0.9006,22,15846,8560,8051,6415,6257,0.7681,0.7953,21.008945841,0.5998,"Bowling Green State University-Main Campus"
"29551",0.7796,24,2751,23433,11607,8894,6866,0.4812,0.7646,22.791014295,0.5714,"Capital University"
"29556",0.6809,29,3824,28678,15675,25969,9013,0.7811,0.9394,22.000965717,0.7717,"Case Western Reserve University"
"29557",0.8324,25,3034,17120,11054,6824,5683,0.8031,0.9974,19.739259259,0.7174,"Cedarville University"
"29564",0.7595,22,799,9820,6421,3875,4893,0.5072,0.6667,25.697628458,0.7578,"Cincinnati Christian University"
"29566",0.7721,23,18860,8877,8001,10618,7432,0.6103,0.8158,23.204655674,0.4073,"University of Cincinnati-Main Campus"
"29570",0.4965,19,405,10612,9745,3432,3742,0.2241,0.3697,28.949640288,0.4063,"Ohio Christian University"
"29575",0.6885,22,536,27017,17181,7295,5285,0.46,0.7545,20.823788546,0.6759,"Cleveland Institute of Art"
"29581",0.9736,21,1309,19728,20681,7475,4888,0.359,0.5365,20.844755245,0.5477,"Columbus College of Art and Design"
"29589",0.7949,26,7270,22046,12792,8596,7238,0.5755,0.9455,19.858078603,0.7907,"University of Dayton"
"29590",0.7172,21,801,18470,10395,5168,4798,1,0.8484,21.934256055,0.4598,"Defiance College"
"29591",0.3882,27,2296,28920,15296,14480,6655,0.7891,0.9765,19.423913043,0.7973,"Denison University"
"29599",0.7018,23,3034,20796,9679,6666,5398,1,0.6984,21.959744409,0.5498,"The University of Findlay"
"29610",0.7486,22,1273,16134,9326,6906,5340,1,0.5853,20.778061224,0.583,"Heidelberg University"
"29611",0.7354,23,1061,24180,13083,6940,5588,1,0.7177,23.371972318,0.6416,"Hiram College"
"29620",0.8518,24,3242,23630,13494,10721,6635,1,1,19.877155172,0.7395,"John Carroll University"
"29628",0.935,22,18130,7954,6840,5857,6600,0.6965,0.7719,22.55837599,0.4606,"Kent State University at Kent"
"29630",0.3614,30,1629,33930,20520,13398,6843,0.7947,0.9977,19.474501109,0.8301,"Kenyon College"
"29631",0.2821,21,767,6770,8483,11688,5216,0.9636,0.3278,26.693577982,0.2667,"Kettering College"
"29632",0.7594,20,655,21390,10216,5015,5665,0.3678,0.5346,22.965686275,0.4272,"Lake Erie College"
